"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.0,11.01170816,10.72725525,10.87930151,10.93915557,10.87324093,10.60893459,10.85348693,10.48774457,10.54274478,10.57259743,11.11003345,11.31819854,10.74047016
5.0E-5,11.01169839,10.72720697,10.8792535,10.93910679,10.87319188,10.60888423,10.85346843,10.48770157,10.54270911,10.57256481,11.10998589,11.31815711,10.74042206
1.0E-4,11.01168895,10.72716006,10.87920688,10.93905942,10.87314421,10.60883519,10.85345072,10.48765987,10.54267449,10.57253314,11.10993976,11.31811769,10.74037534
1.5E-4,11.01167984,10.72711452,10.87916168,10.93901346,10.87309794,10.6087875,10.85343382,10.48761949,10.54264096,10.57250244,11.1098951,11.31808028,10.74033001
2.0E-4,11.01167106,10.72707038,10.87911789,10.93896893,10.87305309,10.60874117,10.85341773,10.48758046,10.5426085,10.57247271,11.1098519,11.3180449,10.74028608
2.5E-4,11.01166263,10.72702765,10.87907554,10.93892584,10.87300967,10.60869621,10.85340246,10.48754277,10.54257715,10.57244397,11.1098102,11.31801156,10.74024358
3.0E-4,11.01165453,10.72698635,10.87903465,10.93888422,10.8729677,10.60865265,10.85338801,10.48750645,10.5425469,10.57241622,11.10977,11.31798027,10.74020252
3.5E-4,11.01164679,10.72694649,10.87899524,10.93884408,10.87292719,10.6086105,10.85337439,10.4874715,10.54251777,10.57238947,11.10973133,11.31795104,10.74016292
4.0E-4,11.01163939,10.72690809,10.8789573,10.93880542,10.87288816,10.60856977,10.85336161,10.48743795,10.54248978,10.57236374,11.10969418,11.31792389,10.74012478
4.5E-4,11.01163234,10.72687115,10.87892086,10.93876827,10.87285062,10.60853048,10.85334966,10.4874058,10.54246292,10.57233904,11.10965858,11.31789882,10.74008813
5.0E-4,11.01162564,10.7268357,10.87888594,10.93873264,10.87281458,10.60849265,10.85333855,10.48737507,10.54243722,10.57231536,11.10962454,11.31787585,10.74005297
5.5E-4,11.0116193,10.72680175,10.87885253,10.93869855,10.87278007,10.60845628,10.8533283,10.48734576,10.54241267,10.57229273,11.10959207,11.31785497,10.74001932
6.0E-4,11.01161331,10.7267693,10.87882067,10.93866599,10.87274709,10.60842139,10.85331889,10.48731788,10.5423893,10.57227114,11.10956119,11.31783621,10.73998719
6.5E-4,11.01160769,10.72673838,10.87879035,10.93863499,10.87271565,10.60838799,10.85331033,10.48729145,10.5423671,10.57225062,11.10953189,11.31781956,10.73995659
7.0E-4,11.01160243,10.72670899,10.87876159,10.93860556,10.87268576,10.6083561,10.85330264,10.48726648,10.54234608,10.57223116,11.10950421,11.31780504,10.73992754
7.5E-4,11.01159753,10.72668114,10.8787344,10.93857771,10.87265744,10.60832572,10.8532958,10.48724297,10.54232626,10.57221277,11.10947814,11.31779264,10.73990003
8.0E-4,11.01159299,10.72665484,10.87870878,10.93855144,10.87263069,10.60829688,10.85328982,10.48722094,10.54230764,10.57219545,11.10945369,11.31778237,10.7398741
8.5E-4,11.01158883,10.7266301,10.87868476,10.93852677,10.87260553,10.60826956,10.85328471,10.48720038,10.54229022,10.57217922,11.10943088,11.31777424,10.73984973
9.0E-4,11.01158503,10.72660693,10.87866233,10.93850371,10.87258197,10.6082438,10.85328047,10.48718132,10.54227402,10.57216409,11.1094097,11.31776825,10.73982695
9.5E-4,11.0115816,10.72658535,10.8786415,10.93848225,10.87256,10.60821959,10.85327709,10.48716375,10.54225904,10.57215004,11.10939018,11.31776439,10.73980575
0.001,11.01157854,10.72656534,10.87862229,10.93846243,10.87253965,10.60819695,10.85327458,10.48714768,10.54224527,10.5721371,11.10937231,11.31776268,10.73978616
0.00105,11.01157585,10.72654694,10.8786047,10.93844423,10.87252091,10.60817588,10.85327294,10.48713312,10.54223274,10.57212526,11.10935611,11.31776311,10.73976817
0.0011,11.01157354,10.72653013,10.87858872,10.93842766,10.8725038,10.60815639,10.85327217,10.48712007,10.54222144,10.57211453,11.10934157,11.31776568,10.73975178
0.00115,11.0115716,10.72651493,10.87857439,10.93841274,10.87248831,10.60813849,10.85327227,10.48710854,10.54221138,10.57210492,11.1093287,11.31777039,10.73973702
0.0012,11.01157003,10.72650133,10.87856168,10.93839946,10.87247447,10.60812219,10.85327324,10.48709852,10.54220256,10.57209642,11.10931751,11.31777725,10.73972387
0.00125,11.01156884,10.72648936,10.87855062,10.93838783,10.87246226,10.60810748,10.85327508,10.48709004,10.54219498,10.57208904,11.10930801,11.31778624,10.73971236
0.0013,11.01156802,10.72647901,10.8785412,10.93837786,10.8724517,10.60809438,10.85327779,10.48708308,10.54218864,10.57208278,11.10930019,11.31779736,10.73970247
0.00135,11.01156758,10.72647028,10.87853342,10.93836955,10.87244278,10.60808289,10.85328136,10.48707765,10.54218356,10.57207765,11.10929405,11.31781061,10.73969421
0.0014,11.01156752,10.72646317,10.8785273,10.93836289,10.87243552,10.60807301,10.85328581,10.48707375,10.54217973,10.57207364,11.10928961,11.31782599,10.7396876
0.00145,11.01156783,10.7264577,10.87852283,10.93835791,10.87242991,10.60806475,10.85329111,10.48707139,10.54217714,10.57207076,11.10928685,11.31784349,10.73968262
0.0015,11.01156851,10.72645386,10.87852001,10.93835458,10.87242596,10.60805811,10.85329728,10.48707056,10.54217581,10.572069,11.10928579,11.3178631,10.73967928
0.00155,11.01156957,10.72645165,10.87851884,10.93835292,10.87242366,10.60805309,10.85330432,10.48707126,10.54217573,10.57206838,11.10928642,11.31788481,10.73967758
0.0016,11.01157101,10.72645107,10.87851933,10.93835293,10.87242303,10.60804969,10.8533122,10.4870735,10.54217691,10.57206888,11.10928874,11.31790862,10.73967753
0.00165,11.01157281,10.72645212,10.87852147,10.93835461,10.87242405,10.60804792,10.85332095,10.48707727,10.54217934,10.57207051,11.10929275,11.31793453,10.73967911
0.0017,11.01157499,10.72645481,10.87852527,10.93835795,10.87242672,10.60804777,10.85333054,10.48708257,10.54218301,10.57207327,11.10929845,11.31796251,10.73968234
0.00175,11.01157755,10.72645913,10.87853072,10.93836296,10.87243106,10.60804925,10.85334099,10.4870894,10.54218794,10.57207716,11.10930583,11.31799256,10.7396872
0.0018,11.01158047,10.72646508,10.87853781,10.93836962,10.87243704,10.60805236,10.85335228,10.48709775,10.54219411,10.57208217,11.1093149,11.31802467,10.73969371
0.00185,11.01158376,10.72647265,10.87854656,10.93837795,10.87244468,10.60805708,10.8533644,10.48710763,10.54220153,10.5720883,11.10932565,11.31805883,10.73970184
0.0019,11.01158743,10.72648185,10.87855694,10.93838793,10.87245397,10.60806343,10.85337737,10.48711903,10.54221019,10.57209555,11.10933808,11.31809502,10.73971161
